SVC,TID,Lat.,Long.
FUL,1,33.73,-84.58
NAS,2,36.11,-86.72
KNX,3,35.91,-84.13
CKV,4,36.13,-85.49
CHA,5,35.06,-85.19
MFS,6,35.03,-89.92
TRI,7,36.44,-82.52
LOU,9,38.19,-85.66
JKN,10,35.67,-88.89
FAY,12,35.14,-86.58
BWG,16,36.93,-86.42
CIN,17,39.03,-84.64
BHM,20,33.56,-86.76
DEC,22,34.65,-86.84
OWN,23,37.79,-87.15
LEX,25,38.09,-84.52
COR,26,37.11,-84.07
CHI,27,41.76,-87.75
MAY,29,36.82,-88.67
CLT,30,35.13,-80.97
GAD,34,34.00,-86.08
MON,35,32.37,-86.12
OPK,36,32.67,-85.36
MAC,37,32.80,-83.73
MOB,38,30.57,-88.13
DOT,39,31.28,-85.46
NOR,41,33.95,-84.03
TUP,43,34.31,-88.77
AUG,45,33.48,-82.13
GRN,48,34.88,-82.13
GBO,49,36.11,-79.99
RAL,52,35.84,-78.83
CLM,56,33.91,-81.08
SAV,57,32.11,-81.22
HKY,58,35.69,-81.24
FTV,59,35.00,-78.89
MER,61,32.35,-88.73
CHR,62,32.94,-80.07
DAR,63,34.24,-79.79
JMS,64,32.25,-90.14
JAX,65,30.33,-81.74
AVL,66,35.55,-82.61
ENC,68,35.64,-77.34
ORL,69,28.41,-81.37
ROA,71,37.32,-79.97
NFK,72,36.81,-76.37
RMD,73,37.40,-77.43
MIA,74,26.13,-80.34
PTR,75,18.43,-66.12
TAM,76,28.00,-82.38
EKY,77,37.74,-83.04
TIF,78,31.42,-83.51
TAL,79,30.44,-84.35
SHE,81,38.07,-78.99
STL,86,38.78,-90.46
DAL,87,32.80,-97.00
LRK,88,34.74,-92.15
JBO,90,35.82,-90.62
HOU,92,29.92,-95.33
NOL,94,29.99,-90.28
MWK,95,42.93,-87.93
SHR,96,32.45,-93.93
FTS,98,35.33,-94.39
OKC,99,35.39,-97.42
TUL,100,36.16,-95.80
SAT,101,29.46,-98.42
BTR,102,30.37,-91.05
WAC,104,31.47,-97.18
ELP,106,31.73,-106.29
HAR,107,26.17,-97.83
LAR,108,27.61,-99.50
AUS,109,30.29,-97.63
TYL,112,32.44,-95.20
WIN,115,39.14,-78.16
FMY,116,26.64,-81.81
LUB,117,33.61,-101.83
ABL,119,32.44,-99.81
WPB,123,26.78,-80.08
BMT,128,30.09,-93.78
MOD,131,31.88,-102.31
CRP,132,27.79,-97.46
DRT,133,29.36,-100.93
WFS,134,33.95,-98.56
AMA,135,35.20,-101.81
PEO,136,40.66,-89.69
ATL,137,33.75,-84.39